StartDate,EndDate,Progress,Duration (in seconds),Participant_Id,Digital_Familiarity,Portal_Comfort_Lvl,First_Sem,Freq_Usr,Local_Acclimated,Course_BG,Improvement,Issues,Comments,Ref_Code,timestamp,arrangement,A_view_class_info_time_taken,A_view_personal_info_time_taken,A_view_finance_info_time_taken,B_view_class_info_time_taken,B_view_personal_info_time_taken,B_view_finance_info_time_taken,C_view_class_info_time_taken,C_view_personal_info_time_taken,C_view_finance_info_time_taken,D_view_class_info_time_taken,D_view_personal_info_time_taken,D_view_finance_info_time_taken,A_feedback_avg,A_feedback_scores,B_feedback_avg,B_feedback_scores,C_feedback_avg,C_feedback_scores,D_feedback_avg,D_feedback_scores,A_error_rate,B_error_rate,C_error_rate,D_error_rate,A_number_of_clicks,B_number_of_clicks,C_number_of_clicks,D_number_of_clicks
2025-04-14 12:22:29,2025-04-14 12:37:56,100,926,R_4dGIlBgbqgxz3No,2,2,2,3,1,5,"i like the top nav bar. it is easier to toggle between the different pages, rather than the hidden nav bar. 

though I felt the side bar was similar to the current design. maybe the information architecture could be improved overall","some buttons dont work , 
e.g. the home button sometimes doesn't bring me back
e.g. the drop down button on the top left sometimes doesn't bring out the menu bar when I click it","not sure if my computer issue, but some time I have to click a button multiple times for it to work.",11096,2025-04-14T12:24:50+08:00,1,41.611,0.720000000000006,0.5920000000000023,33.411,0.6749999999999972,58.952,86.44800000000001,20.967,38.727,19.981,13.959,21.68,5.714285714285714,"['7', '7', '6', '6', '6', '3', '5']",5.857142857142857,"['6', '6', '6', '6', '6', '5', '6']",5.714285714285714,"['6', '6', '6', '4', '6', '6', '6']",6.0,"['6', '6', '6', '6', '6', '6', '6']",,0.75,1.0,1.6666666666666667,,7.0,8.0,8.0
2025-04-15 20:16:05,2025-04-15 20:54:52,100,2327,R_9jWbHzaptt7ptew,2,3,1,2,2,1,Fix the layout of the financials page. Fix the interactions (home button clickable) when in contact details. Make the buttons at the top go together with the overall layout (right now: a bit mismatched),The financials layout and the interactions in contact details,No,94531,2025-04-15T20:32:23+08:00,3,30.799,0.7530000000000001,1.3969999999999985,40.449,2.3279999999999994,34.221999999999994,99.398,50.806,2.1980000000000004,39.167,5.649000000000001,56.363,3.571428571428572,"['4', '4', '2', '2', '6', '6', '1']",3.7142857142857135,"['6', '6', '2', '2', '2', '7', '1']",3.4285714285714284,"['6', '6', '3', '3', '1', '1', '4']",2.4285714285714284,"['4', '2', '2', '2', '1', '2', '4']",,,3.0,,,,16.0,
2025-04-15 22:22:35,2025-04-15 22:41:44,100,1148,R_9CjqogT8bwG4580,3,2,2,2,1,1,Not sure.,"no, i wish i didnt have to open a new tab every time and close it i guess","Nope, thanks!",70610,2025-04-15T22:26:27+08:00,2,29.617,0.8870000000000005,18.298,19.452,4.364999999999995,9.107999999999995,0.8669999999999973,1.0670000000000002,1.035,29.526,2.022999999999996,1.0079999999999956,7.0,"['7', '7', '7', '7', '7', '7', '7']",4.857142857142857,"['2', '2', '6', '6', '6', '6', '6']",4.714285714285714,"['7', '7', '7', '3', '3', '3', '3']",2.2857142857142856,"['2', '2', '2', '2', '2', '4', '2']",10.75,3.3333333333333335,0.0,5.333333333333333,47.0,13.0,3.0,19.0
2025-04-15 23:20:11,2025-04-15 23:55:59,100,2147,R_9kL17GI2jB1NgdK,3,3,2,3,1,1,"'- Bigger text for the items instead of icons or more relevant icons
- Tweak the colour scheme","'- Link is broken can't go back to home page https://cs4249-experiment-setup.vercel.app/contact-details.html?variant=login-b-home-b&participant_id=68221 so I don't think I managed to save it as the instructions mentioned to click the home page after each trail to save progress
- Dropdown is not working too",,68221,2025-04-15T23:37:55+08:00,2,3.4069999999999965,1.261999999999997,1.025000000000002,3.446999999999999,1.8729999999999976,12.444999999999991,1.7880000000000005,3.7550000000000026,0.8810000000000002,0.6600000000000001,2.0310000000000006,0.8010000000000019,4.285714285714286,"['6', '6', '3', '4', '5', '3', '3']",5.571428571428571,"['5', '5', '7', '7', '5', '5', '5']",4.857142857142857,"['6', '6', '5', '5', '5', '4', '3']",5.142857142857143,"['6', '5', '5', '5', '5', '5', '5']",,0.5,,0.25,,6.0,,5.0
2025-04-18 20:24:06,2025-04-18 20:38:29,100,863,R_9JYtw7vrZpSyBt7,1,2,2,2,1,1,smaller text size for tiles for portal B/D,Cannot click home button on contacts page,no,47477,2025-04-18T20:28:43+08:00,3,24.968,9.761,24.686,16.399,25.358,14.999000000000002,25.802,23.004,37.49,19.47,16.983999999999998,38.21900000000001,6.0,"['6', '6', '6', '6', '6', '6', '6']",6.0,"['6', '6', '6', '6', '6', '6', '6']",5.571428571428571,"['7', '7', '5', '5', '5', '5', '5']",5.142857142857143,"['6', '5', '5', '5', '5', '5', '5']",0.5,0.3333333333333333,,5.666666666666667,6.0,4.0,,20.0
2025-04-18 22:50:02,2025-04-18 23:06:19,100,976,R_9NqeQxKTyxkULTE,2,1,2,3,1,1,The system is buggy the home button does not work sometimes when i am in the personal info page looking for my number.,Yes home button issues,Greatthat you were able to create a web app for this however giving all the links inthe start made me feel that i had to go through all of them before i started which would already create preconcieved notions hence bias.,51736,2025-04-18T22:56:10+08:00,1,27.851,50.202,16.016,19.098000000000003,15.483,45.183,28.173,1.0990000000000002,1.4800000000000004,13.828,1.997,15.768999999999998,7.0,"['7', '7', '7', '7', '7', '7', '7']",6.428571428571429,"['5', '5', '7', '7', '7', '7', '7']",5.571428571428571,"['7', '7', '5', '5', '6', '3', '6']",5.714285714285714,"['5', '5', '6', '6', '6', '6', '6']",0.25,0.6666666666666666,,0.0,5.0,5.0,,4.0
2025-04-19 04:19:08,2025-04-19 04:28:59,100,590,R_9DDDfs8SS5KlalX,2,2,2,3,1,3,too many fields to choose from,nil,lesser fields (the square box thingy) orange as the login button is great,88314,2025-04-19T04:20:27+08:00,3,20.360000000000003,11.45,13.907,24.711,17.468,25.578,34.384,50.943,45.349,20.814,38.431,17.018,4.714285714285714,"['6', '6', '4', '3', '4', '5', '5']",5.0,"['5', '5', '5', '5', '5', '5', '5']",6.0,"['6', '6', '6', '6', '6', '6', '6']",6.0,"['6', '6', '6', '6', '6', '6', '6']",,,,,,,,
2025-04-19 15:32:00,2025-04-19 15:48:25,100,985,R_9wqSibfB6fWPTvb,1,3,1,3,2,1,No,No,No,74407,2025-04-19T15:34:09+08:00,2,25.611,26.727000000000004,28.908,35.391,78.071,50.405,47.631,17.718,11.082,29.459999999999997,22.242,16.356,5.857142857142857,"['7', '7', '5', '6', '5', '5', '6']",5.428571428571429,"['6', '5', '4', '5', '6', '6', '6']",6.714285714285714,"['7', '7', '7', '6', '7', '6', '7']",6.285714285714286,"['6', '6', '7', '7', '6', '6', '6']",1.0,2.0,3.5,0.6666666666666666,6.0,9.0,18.0,5.0
2025-04-19 17:27:22,2025-04-19 17:38:59,100,697,R_9EoRCYidx32kazB,2,2,2,3,2,1,no,I'm taking 4249 so I have known the answers of some questions,NO,23083,2025-04-19T17:28:16+08:00,3,19.255,60.951,21.638,22.969,18.955,26.712000000000003,35.399,38.653000000000006,58.488,26.698,24.177,19.989,6.571428571428571,"['7', '7', '7', '6', '6', '7', '6']",4.714285714285714,"['5', '6', '6', '6', '6', '2', '2']",3.4285714285714284,"['7', '6', '2', '2', '3', '2', '2']",2.142857142857143,"['5', '2', '1', '2', '1', '2', '2']",1.0,2.6666666666666665,0.25,5.0,8.0,11.0,5.0,18.0
2025-04-20 00:53:27,2025-04-20 01:07:50,100,862,R_92YnYDeW6Q7pgIE,1,2,2,3,1,1,"Having the tabs at the top, e.g. 'my info' really helps to find personal info","the home button did not work when in some pages, e.g. when looking at contact details",nil,77207,2025-04-20T01:00:48+08:00,3,16.651,1.2569999999999997,3.322000000000001,16.88,0.5780000000000012,1.9050000000000007,28.488000000000003,3.213999999999998,6.259,20.685,2.7630000000000017,0.7259999999999991,7.0,"['7', '7', '7', '7', '7', '7', '7']",6.714285714285714,"['7', '7', '7', '7', '6', '7', '6']",6.428571428571429,"['7', '7', '7', '6', '6', '6', '6']",6.428571428571429,"['7', '7', '7', '6', '6', '6', '6']",,,,,,,,
2025-04-20 02:12:05,2025-04-20 02:24:09,100,723,R_4MK9MJfwfg9RGjN,1,1,2,2,1,1,Better categorisation or arrangement of buttons,There was one question that asked about miscellaneous student fees but wasn't specific about whether it was for student services or health services,More detailed instructions for user tasks,27484,2025-04-20T02:14:17+08:00,2,19.379,12.007,15.364999999999998,26.104,44.749,28.998,44.991,29.265,18.541,20.023,17.887,23.486,3.2857142857142856,"['6', '6', '2', '2', '3', '2', '2']",5.714285714285714,"['6', '6', '6', '6', '5', '6', '5']",5.571428571428571,"['6', '6', '6', '6', '5', '5', '5']",4.857142857142857,"['6', '6', '5', '5', '4', '4', '4']",1.5,2.3333333333333335,0.5,1.0,10.0,10.0,6.0,6.0
2025-04-20 15:48:16,2025-04-20 16:14:14,100,1558,R_9dRCDaR7EZGm3h8,3,3,2,2,2,1,No.,No.,No.,52320,2025-04-20T15:51:28+08:00,3,34.102999999999994,24.031,39.993,51.34,53.057,40.727,48.81099999999999,352.54200000000003,98.239,85.409,35.045,35.001999999999995,3.857142857142857,"['6', '6', '3', '3', '3', '3', '3']",3.857142857142857,"['6', '6', '3', '3', '3', '3', '3']",6.0,"['6', '6', '6', '6', '6', '6', '6']",5.142857142857143,"['3', '3', '6', '6', '6', '6', '6']",0.0,0.6666666666666666,12.666666666666666,1.6666666666666667,4.0,5.0,41.0,8.0
2025-04-20 17:12:38,2025-04-20 18:13:40,100,3662,R_40qJEfXiMlkgrJZ,1,1,2,3,3,1,,,,23773,2025-04-20T18:06:05+08:00,4,20.971,0.8240000000000016,0.8069999999999999,23.905,0.8460000000000001,1.0600000000000025,0.9149999999999991,0.6999999999999993,4.317,0.9550000000000054,1.2600000000000016,53.294,7.0,"['7', '7', '7', '7', '7', '7', '7']",6.0,"['6', '6', '6', '6', '6', '6', '6']",6.0,"['6', '6', '6', '6', '6', '6', '6']",5.142857142857143,"['3', '3', '6', '6', '6', '6', '6']",,,,2.6666666666666665,,,,11.0
2025-04-20 19:07:11,2025-04-20 19:23:32,100,980,R_41mOOQ4WwAHL5It,1,1,2,3,1,1,NIL,NIL,NIL,86306,2025-04-20T19:14:14+08:00,4,30.337000000000003,13.11,20.527,26.297,1.7409999999999997,22.371,29.515,0.7220000000000013,1.2270000000000003,33.660000000000004,16.257,37.378,7.0,"['7', '7', '7', '7', '7', '7', '7']",6.714285714285714,"['6', '6', '7', '7', '7', '7', '7']",6.0,"['6', '6', '6', '6', '6', '6', '6']",6.0,"['6', '6', '6', '6', '6', '6', '6']",0.0,0.25,,0.0,4.0,5.0,,3.0
